Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
County of Allendale,Assessment,,240269,Former Mixson Service Station,US 301 &amp; Mixson St.,ALLENDALE,SC,29810,0.42,,,"The site is located at the intersection of US Highway 301 and Mixson Street in Allendale, SC and consists of one parcel (TMS 105-04-04-001) encompassing approximately 0.42 acres. The subject property is improved with one (1) single-story structure covering approximately 3,000 square feet in area. The one (1) remaining on-site structure, a former automobile filling station, is in poor&#10condition with a large portion of its roof caved in. The site is improved by apparent former dispenser islands as",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4000,Supplemental Assessment,7/2/19,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240269,Former Mixson Service Station,US 301 &amp; Mixson St.,ALLENDALE,SC,29810,0.42,,,"The site is located at the intersection of US Highway 301 and Mixson Street in Allendale, SC and consists of one parcel (TMS 105-04-04-001) encompassing approximately 0.42 acres. The subject property is improved with one (1) single-story structure covering approximately 3,000 square feet in area. The one (1) remaining on-site structure, a former automobile filling station, is in poor&#10condition with a large portion of its roof caved in. The site is improved by apparent former dispenser islands as",EPA,US EPA - Brownfields Assessment Cooperative Agreement,6500,Phase I Environmental Assessment,7/17/19,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240434,Farmer's Grain &amp; Supply Development Tract,437 Burton's Ferry Highway,ULMER,SC,29849,20,Private,Farmer's Grain & Supply,"The 20 acre tract is located on the west side of the Seaboard System Railroad, approximately 0.25 miles south of US Highway 301, aka Burtons Ferry Highway.  The Property abuts a portion of the railroad where there is a second track as a branch siding and has potential for development in Allendale County.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2771,Phase I Environmental Assessment,12/28/18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240446,Town of Allendale Former Hotel,intersection of US Highway 301 and Railroad Avenue,ALLENDALE,SC,29810,0.23,Government,Town of Allendale,The Town of Allendale currently owns this property which was utilized as a hotel. It is vacant and in poor structural condition.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,5000,Phase I Environmental Assessment,8/1/19,Unknown,No,No,Yes,No,No,No,No,No,Yes,lead paint survey,No,No,No,No,No,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,
County of Allendale,Assessment,,240446,Town of Allendale Former Hotel,intersection of US Highway 301 and Railroad Avenue,ALLENDALE,SC,29810,0.23,Government,Town of Allendale,The Town of Allendale currently owns this property which was utilized as a hotel. It is vacant and in poor structural condition.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3208,Supplemental Assessment,8/1/19,Unknown,No,No,Yes,No,No,No,No,No,Yes,lead paint survey,No,No,No,No,No,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,
County of Allendale,Assessment,,240446,Town of Allendale Former Hotel,intersection of US Highway 301 and Railroad Avenue,ALLENDALE,SC,29810,0.23,Government,Town of Allendale,The Town of Allendale currently owns this property which was utilized as a hotel. It is vacant and in poor structural condition.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,7866,Supplemental Assessment,6/21/19,Unknown,No,No,Yes,No,No,No,No,No,Yes,lead paint survey,No,No,No,No,No,No,,No,,,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,
County of Allendale,Assessment,,240472,Isham's Grocery,330 6th Street,FAIRFAX,SC,29827,0.25,Private,Dell Isham,,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2990,Supplemental Assessment,6/27/17,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240473,Allendale County Nursing Home,Bells & Barnwell Rd,ALLENDALE,SC,29810,0.45,Government,Allendale County,,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3292,Supplemental Assessment,8/4/17,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240474,Fairfax Community Building,635 Allendale Fairfax Highway,FAIRFAX,SC,29827,1.17,Government,"Town of Fairfax, South Carolina",,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3293,Supplemental Assessment,8/4/17,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240475,Town of Allendale Commercial Buildings,"163 Augusta Highway and 177, 183, 191 Augusta Highway",ALLENDALE,SC,29810,0.37,Government,"Town of Allendale, South Carolina",,EPA,US EPA - Brownfields Assessment Cooperative Agreement,4669,Supplemental Assessment,12/11/18,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken City of,Assessment,,239722,Regions Bank,107 Chesterfield Street South,AIKEN,SC,29801,0.86,Private,,"The site consists of one approximately 23,740 square-foot office building, originally constructed as a hotel in 1920",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,5/15/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Developer,0,Private/Other Funding,9/30/19,
Aiken City of,Assessment,,239722,Regions Bank,107 Chesterfield Street South,AIKEN,SC,29801,0.86,Private,,"The site consists of one approximately 23,740 square-foot office building, originally constructed as a hotel in 1920",EPA,US EPA - Brownfields Assessment Cooperative Agreement,7800,Cleanup Planning,10/11/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Developer,0,Private/Other Funding,9/30/19,
Aiken City of,Assessment,,239722,Regions Bank,107 Chesterfield Street South,AIKEN,SC,29801,0.86,Private,,"The site consists of one approximately 23,740 square-foot office building, originally constructed as a hotel in 1920",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5665.52,Phase II Environmental Assessment,10/18/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Developer,0,Private/Other Funding,9/30/19,
Town of Central,Assessment,,239729,Public Health Building,225 Broad Street,CENTRAL,SC,29630,0.42,Government,Town of Central,"According to information from the Pickens County Tax Assessor?s website, the approximate 0.42-acre site consists of one parcel (Pickens County Tax Map Nos. 4065-10-46-7714) located at 225 Broad Street in Central, Pickens County, South Carolina.  The site is currently improved with a vacant building.&#10&#10According to a review of historical information, the site was depicted as developed in 1938 with two former structures (presumably residential).  The site was depicted as a vacant lot in 1947. The s",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Cleanup Planning,11/29/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,239729,Public Health Building,225 Broad Street,CENTRAL,SC,29630,0.42,Government,Town of Central,"According to information from the Pickens County Tax Assessor?s website, the approximate 0.42-acre site consists of one parcel (Pickens County Tax Map Nos. 4065-10-46-7714) located at 225 Broad Street in Central, Pickens County, South Carolina.  The site is currently improved with a vacant building.&#10&#10According to a review of historical information, the site was depicted as developed in 1938 with two former structures (presumably residential).  The site was depicted as a vacant lot in 1947. The s",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3400,Phase I Environmental Assessment,6/14/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,239729,Public Health Building,225 Broad Street,CENTRAL,SC,29630,0.42,Government,Town of Central,"According to information from the Pickens County Tax Assessor?s website, the approximate 0.42-acre site consists of one parcel (Pickens County Tax Map Nos. 4065-10-46-7714) located at 225 Broad Street in Central, Pickens County, South Carolina.  The site is currently improved with a vacant building.&#10&#10According to a review of historical information, the site was depicted as developed in 1938 with two former structures (presumably residential).  The site was depicted as a vacant lot in 1947. The s",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5000,Phase II Environmental Assessment,6/14/19,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,239730,Central Roller Mill,300 Madden Bridge Road,CENTRAL,SC,29630,1.91,Private,Issaqueena Mills LLC,"According to information from the Pickens County Tax Assessor?s website, the site consists of two parcels totaling approximate 1.91-acre site (Pickens County Tax Map Nos. 4065-10-36-6667 and 4065-10-36-4544) located at 300 Madden Bridge Road in Central, Pickens County, South Carolina.  The site is currently improved with the Central Roller Mill and several associated buildings. The Central Roller Mill is not currently operational.&#10&#10According to a review of historical information, the site has be",EPA,US EPA - Brownfields Assessment Cooperative Agreement,8000,Phase II Environmental Assessment,6/14/19,Unknown,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Central,Assessment,,239730,Central Roller Mill,300 Madden Bridge Road,CENTRAL,SC,29630,1.91,Private,Issaqueena Mills LLC,"According to information from the Pickens County Tax Assessor?s website, the site consists of two parcels totaling approximate 1.91-acre site (Pickens County Tax Map Nos. 4065-10-36-6667 and 4065-10-36-4544) located at 300 Madden Bridge Road in Central, Pickens County, South Carolina.  The site is currently improved with the Central Roller Mill and several associated buildings. The Central Roller Mill is not currently operational.&#10&#10According to a review of historical information, the site has be",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3600,Phase I Environmental Assessment,6/14/19,Unknown,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240689,Former Mixson Service Station,intersection of US Highway 301 and Mixson Street,ALLENDALE,SC,29810,0.42,,,"The site is located at the intersection of US Highway 301 and Mixson Street in Allendale, SC and consists of one parcel (TMS 105-04-04-001) encompassing approximately 0.42 acres. The subject property is improved with one (1) single-story structure covering approximately 3,000 sq ft in area.   The one (1) remaining on-site structure, a former automobile filling station, is in poor condition with a large portion of its roof caved in. The site is improved by apparent former dispenser islands associ",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5000,Phase I Environmental Assessment,7/17/19,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County of Allendale,Assessment,,240689,Former Mixson Service Station,intersection of US Highway 301 and Mixson Street,ALLENDALE,SC,29810,0.42,,,"The site is located at the intersection of US Highway 301 and Mixson Street in Allendale, SC and consists of one parcel (TMS 105-04-04-001) encompassing approximately 0.42 acres. The subject property is improved with one (1) single-story structure covering approximately 3,000 sq ft in area.   The one (1) remaining on-site structure, a former automobile filling station, is in poor condition with a large portion of its roof caved in. The site is improved by apparent former dispenser islands associ",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Supplemental Assessment,7/2/19,Unknown,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Honea Path,Assessment,,239928,Chiquola Mill,410 Chiquola Avenue,HONEA PATH,SC,29654,21.6,,,"Chiquola Manufacturing (later Springs Industries) developed a textile mill on the subject property in the early 1900s. Operations included spinning, carding, and weaving. A 1954 survey map identifies features on the subject property that include a four-story building with basement (the main mill building), pond, four 20,000 gallon fuel oil tanks, 500 gallon gasoline tank, automobile garage, warehouses, laboratory, smoke stack, two elevated water tanks, machine shop, and a boiler/compressor room.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,9953,Phase I Environmental Assessment,3/1/18,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,163625,Brinkley Station,Brinkley Street,jackson,SC,29831,1.93,,,,EPA,US EPA - TBA Funding,10000,Phase I Environmental Assessment,9/1/12,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,163625,Brinkley Station,Brinkley Street,jackson,SC,29831,1.93,,,,EPA,US EPA - TBA Funding,11700,Phase II Environmental Assessment,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,175164,Rock Hill Feed and Seed,700-898 East White Street,Rock Hill,SC,29730,4.85,Government,City of Rock Hill,"The property is a 4.85 acre parcel at the corner of East White Street and Jones Avenue in Rock HIll, South Carolina. The land has been used as a cotton mill from 1905 until the 1940s, and a feed-and-seed business from the 1940s until 1998.",EPA,US EPA - TBA Funding,97347,Phase II Environmental Assessment,5/24/13,Yes,Yes,,,,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,175203,Springsteen Mill,236 Gadsden Street,Chester,SC,29706,11,Government,City of Chester,"From the late 1890s until 1947, the site was utilized as a textile plant, and operations included the spinning and dyeing of yarns and ginghams.  In 1947, dyeing operations were moved off site, and the mill became a spinning and weaving plant until the early 1980s, when the mill closed.  After closure of the mill, several small business ventures operated on the site.  The last business to occupy the site mined about 75 percent of the mill for salvageable materials.  Hardwood floors, copper wire,",EPA,US EPA - TBA Funding,113200,Phase II Environmental Assessment,12/31/13,Yes,,,,,,,,Yes,,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 TBA - South Carolina (STAG Funded),TBA,,175212,National Fence Site,167 North Lee Street,Rock Hill,SC,29730,5.28,Government,City of Rock Hill,"The National Fence site occupies approximately 5.28 acres of land and is currently vacant; however, several concrete slabs are present on site.",EPA,US EPA - TBA Funding,99200,Phase II Environmental Assessment,3/27/14,Yes,,,,,,Yes,Yes,Yes,Yes,Aroclor 1248,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenville,Assessment,,193021,RiverPlace Phase III,250 River Street,GREENVILLE,SC,29601,2.08,,,"The historical aerial photographs from 1943-1976 show the property heavily developed, with multiple site buildings on the property. By 1981, the area near the intersection of Hammond and River Streets that formerly contained Marine Safety Products Manufacturing building (based on the 1961 Sanborn Map) has been demolished, with the remaining properties to the east towards the Reedy River visible. By 1994, several of the smaller buildings are not visible in the aerial. By 2005, all of the site str",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,3/5/15,No,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Greenville,10000000,Local Funding,9/1/14,10/30/16
